Task_ID,Arrival_Time,Burst_Time,Priority,Deadline,Data_Size,Task_Type
T19,0,9,5,22,376,Video
T24,0,11,5,18,281,Sensor
T12,1,2,2,23,276,IoT
T22,1,6,1,27,302,IoT
T13,4,14,1,32,54,Sensor
T14,6,8,3,32,66,Healthcare
T30,6,10,5,35,56,Sensor
T17,7,10,3,27,51,Healthcare
T29,10,9,4,32,366,IoT
T15,11,13,4,43,299,Healthcare
T26,11,2,2,18,447,Sensor
T20,12,3,2,31,500,Sensor
T8,15,14,4,46,486,Video
T1,16,4,1,27,295,Gaming
T2,16,2,4,36,262,IoT
T27,16,2,5,31,473,Healthcare
T10,17,3,2,30,355,Healthcare
T4,17,9,1,31,164,Sensor
T9,17,4,5,29,489,IoT
T18,18,14,1,50,204,IoT
T7,21,2,1,28,405,IoT
T21,22,6,1,45,409,Sensor
T28,22,7,4,35,192,Video
T23,23,4,1,36,362,Gaming
T6,23,2,3,43,208,Healthcare
T3,25,8,3,43,318,Sensor
T11,26,4,4,44,233,Video
T16,27,2,4,49,223,Gaming
T25,28,8,4,51,345,IoT
T5,30,6,2,55,121,Gaming
